search_rank,product_name,old_price,discount,new_price,rating,number_of_ratings,official_store,brand_name,source
825,Fashion Men Streetwear Striped Tshirt Summer Mens Funny Hip Hop Loose T Shirt Male Vintage Fashion Tees Casual Yellow Tops(#Blue),179.05,0,179.05,,0,Non,Not a brand,Jumia
826,Defacto Oversize Fit Crew Neck T-Shirt,399.0,44,223.44,5.0,3,official_store,defacto,Jumia
827,Aerie Roadtrip Henley T-Shirt,1050.0,50,525.0,3.3,4,official_store,aerie,Jumia
828,Defacto Man White Short Sleeve Shirt,399.0,20,319.0,4.0,12,official_store,defacto,Jumia
829,Defacto Man Regular Fit Short Sleeve Stripe Detailed T-Shirt,399.0,50,199.0,4.2,26,official_store,defacto,Jumia
830,Cottonil Outwear Classic Collar Navy Blue Polo Shirt,215.0,0,215.0,4.3,12,official_store,cottonil,Jumia
831,American Eagle AE 24/7 Good Vibes Graphic T-Shirt,800.0,50,400.0,4.2,22,official_store,american,Jumia
832,Al Wedad Turtle Neck Solid Top - Orange,128.0,41,75.0,4.6,5,Non,Not a brand,Jumia
833,Defacto Regular Fit Half Turtleneck Tunic,399.0,30,279.3,5.0,2,Non,Not a brand,Jumia
834,Mesery Cotton Spaghetti Strap With Dantel Lace -White,159.0,57,69.0,5.0,1,Non,Not a brand,Jumia
835,Cottonil Comfortable Sleeveless Scoop Neck Undershirt - Red,94.0,15,79.9,4.6,8,official_store,cottonil,Jumia
836,Defacto Regular Fit V Neck Short Sleeve T-Shirt,299.04,50,149.1,,0,official_store,defacto,Jumia
837,Classy Blue Color Cotton Shirt,320.0,0,320.0,5.0,2,Non,Not a brand,Jumia
838,Fit Freak Cool Grey Camouflage Training Short Sleeve Top,400.0,50,200.0,5.0,1,Non,Not a brand,Jumia
839,Caesar Boys Stripped Sportive Tank Top,115.0,24,87.0,5.0,1,Non,Not a brand,Jumia
840,Kubo Curved Raglan Round Neck T-Shirt With Decorated Stitching Details - Dark Olive,210.0,34,139.0,,0,Non,Not a brand,Jumia
841,Women's  Short Sleeve Cotton Printed T-Shirt,130.0,24,99.0,4.0,7,Non,Not a brand,Jumia
842,Woman Blouses -white,199.0,0,199.0,5.0,1,Non,Not a brand,Jumia
843,Women Casual Long Sleeve Polka Dot Turn-Down Collar Casual Tops On Shirts,150.91,0,150.91,,0,Non,Not a brand,Jumia
844,Defacto BabyGirl Regular Fit Frill Neck Knitted Long Sleeve Blouse,199.0,0,199.0,5.0,4,official_store,defacto,Jumia
845,Defacto Oversize Fit Crew Neck Printed T-Shirt,299.04,17,249.06,4.0,2,official_store,defacto,Jumia
846,Defacto Coool SmileyWorld Fitted Crew Neck Mesh Singlet,199.08,30,139.44,5.0,1,Non,Not a brand,Jumia
847,Defacto Regular Fit Short Sleeve Shirt,598.92,35,388.92,3.0,2,official_store,defacto,Jumia
848,American Eagle Rolled Sleeve Soft & Sexy T-Shirt,700.0,50,350.0,5.0,3,official_store,american,Jumia
849,American Eagle Super Soft Icon V-Neck T-Shirt.,850.0,40,510.0,4.6,41,official_store,american,Jumia
850,Caesar Mens Printed Round Neck T-Shirt,280.0,38,174.0,,0,Non,Not a brand,Jumia
851,Al Wedad Turtle Neck Solid Top - ST BROWN,128.0,41,75.0,5.0,4,Non,Not a brand,Jumia
852,Cottonil Half Sleeveless Top - For Woman Black,299.0,63,109.99,4.1,9,official_store,cottonil,Jumia
853,Clever Men's Polo T-shirt - Made Of Cotton - Mustard,440.0,43,250.0,,0,Non,Not a brand,Jumia
854,Diadora Men Cotton Printed T-Shirt - White,289.0,30,202.0,5.0,2,Non,Not a brand,Jumia
855,Defacto Fitted Polo Collar Sport Undershirt,198.8,20,159.2,4.0,1,official_store,defacto,Jumia
856,Kady Full Sleeves Loose Top - Light Grey,459.0,61,179.0,4.0,43,official_store,kady,Jumia
857,Izor Buttoned Cotton Plain T-Shirt -Dark Grey,499.0,67,164.0,4.6,10,official_store,izor,Jumia
858,Defacto Comfort Fit Crew Neck Printed T-Shirt,349.02,32,238.98,4.0,1,official_store,defacto,Jumia
859,Women's T-shirt Made Of Ribbed Cotton - White,249.99,50,124.99,3.2,6,Non,Not a brand,Jumia
860,Defacto Long Sleeve Shirt,698.88,20,559.02,,0,Non,Not a brand,Jumia
861,Defacto Regular Fit Long Sleeve Shirt.,699.2,10,628.8,,0,official_store,defacto,Jumia
862,Cottonil Wide Sleeveless Black Cotton Tank Top,107.0,15,90.95,4.7,12,official_store,cottonil,Jumia
863,Defacto BabyGirl Regular Fit Bike Neck Woven Long Sleeve Shirt,399.0,20,319.0,5.0,3,official_store,defacto,Jumia
864,Jupiter Men's Plain Long Sleeve Oxford Shirt -lime Green,450.0,22,350.0,3.0,1,Non,Not a brand,Jumia
865,Bebo Women's Chaponise Blouse_Multi Yellow,190.0,50,95.0,,0,Non,Not a brand,Jumia
866,Ted Marchel Plain Pattern Round Neck T-Shirt- Black,125.0,0,125.0,4.0,3,Non,Not a brand,Jumia
867,Defacto Woman White Short Sleeve Shirt,899.0,40,539.0,,0,official_store,defacto,Jumia
868,Defacto Regular Fit Long Sleeve Tunic,698.88,36,448.98,5.0,2,Non,Not a brand,Jumia
869,American Eagle AE Flex Oxford Button-Up Shirt,1950.0,40,1170.0,4.6,51,official_store,american,Jumia
870,American Eagle Polo Shirt - Heather Gray,1400.0,40,840.0,4.6,105,official_store,american,Jumia
871,Very Beautiful Blouse,300.0,0,300.0,3.5,4,Non,Not a brand,Jumia
872,Bebo Women's Blouse With Elastic Sleeves-Beige,190.0,48,98.0,,0,Non,Not a brand,Jumia
873,American Eagle Long-Sleeve Button-Up Shirt,1250.0,50,625.0,4.6,9,official_store,american,Jumia
874,Another Chic Blouse,350.0,0,350.0,3.0,2,Non,Not a brand,Jumia
875,American Eagle AE Super Soft Photoreal Graphic T-Shirt,750.0,50,375.0,4.1,15,official_store,american,Jumia
876,Bebo Women's Button-up Blouse -  Petrol*white,170.0,44,95.0,,0,Non,Not a brand,Jumia
877,Diadora Women Printed Cotton T-Shirt - Navy,299.0,30,209.0,4.0,3,Non,Not a brand,Jumia
878,SHEIN Floral Print Batwing Sleeve Tee White,700.0,50,349.0,5.0,3,Non,Not a brand,Jumia
879,ASTK Men BASIC REG FIT Round Neck,349.0,52,169.0,,0,official_store,astk,Jumia
880,AKAI Cotton T-Shirt First Rate For Men From Akai Store-light Grey,225.0,18,185.0,4.3,33,Non,Not a brand,Jumia
881,American Eagle Daily Fave Tank Top,600.0,40,360.0,,0,official_store,american,Jumia
882,ASTK Winter Cropped Top,449.0,60,179.0,,0,official_store,astk,Jumia
883,American Eagle AE Super Soft Logo Graphic T-Shirt,1300.0,30,910.0,4.3,3,official_store,american,Jumia
884,Women's T-shirt Made Of Ribbed Cotton - Orange,249.99,50,124.99,4.8,5,Non,Not a brand,Jumia
885,Ricci Casual White Chemise For Woman,450.0,50,225.0,4.4,7,Non,Not a brand,Jumia
886,T-shirt Polo-Blue-BIA-white,299.0,53,140.0,4.7,6,Non,Not a brand,Jumia
887,Bebo Striped Blouse Half Fit-Black In White,170.0,50,85.0,,0,Non,Not a brand,Jumia
888,Kady Crew  Neck Loose Slip  On Top  - Coral,459.0,61,179.0,3.8,13,official_store,kady,Jumia
889,American Eagle AE 24/7 Good Vibes Logo Graphic T-Shirt,1100.0,30,770.0,,0,Non,Not a brand,Jumia
890,Defacto Relax Fit Printed Long Sleeve Crew Neck Sweat Tunic,599.0,0,599.0,,0,Non,Not a brand,Jumia
891,Aerie Waffle Long Sleeve T-Shirt,1300.0,50,650.0,4.5,4,official_store,aerie,Jumia
892,K&B Printed T-shirt - Melon,95.25,0,95.25,5.0,1,Non,Not a brand,Jumia
893,Defacto Slim Fit Halter Collar Ribbed Camisole Singlet,249.06,44,139.44,5.0,1,official_store,defacto,Jumia
894,Mothercare Space Dino Long-sleeved T-shirt,245.0,6,230.0,4.5,14,official_store,mothercare,Jumia
895,Women's T-shirt Made Of Ribbed Cotton - White,230.0,57,100.0,,0,Non,Not a brand,Jumia
896,American Eagle Classic Fit Oxford Short-Sleeve Button-Up Shirt,1500.0,40,900.0,4.5,80,official_store,american,Jumia
897,Mothercare Rust Bear Knitted Jumper,500.0,34,330.0,4.8,14,official_store,mothercare,Jumia
898,American Eagle AE Linen Band Collar Button Up Shirt,1950.0,40,1170.0,3.9,8,official_store,american,Jumia
899,Mothercare White Eyelash Knit Cardigan,730.0,38,450.0,4.8,5,official_store,mothercare,Jumia
900,Mothercare Striped Bear Long-sleeved T-shirt,300.0,23,230.0,5.0,3,official_store,mothercare,Jumia
901,American Eagle AE Oversized Flannel Beach Shirt,1700.0,50,850.0,4.8,5,official_store,american,Jumia
902,American Eagle AE Slim Fit Everyday Shirt,1200.0,50,600.0,4.1,21,official_store,american,Jumia
903,Andora Hi-Low Ruffle Trim Patterned Winter Shirt - Red & Black,449.0,67,149.0,,0,official_store,andora,Jumia
904,Defacto Man Regular Fit Basic Polo Shirt,499.0,0,499.0,4.3,3,official_store,defacto,Jumia
905,Defacto Regular Fit T-Shirt,299.04,45,165.9,,0,official_store,defacto,Jumia
906,Satin Formal Blouse /Chemise  -very Soft -  Black,400.0,0,400.0,4.1,16,Non,Not a brand,Jumia
907,Women's T-shirt Made Of Ribbed Cotton - Green,249.99,50,124.99,4.5,4,Non,Not a brand,Jumia
908,American Eagle Striped Slim Fit Oxford Button-Up Shirt,1600.0,30,1120.0,,0,Non,Not a brand,Jumia
909,Satin Crop Top For Women - Off White,800.0,50,400.0,,0,Non,Not a brand,Jumia
910,Caesar Boys Collared Neck Polo Shirt,227.0,18,187.0,4.5,2,official_store,caesar,Jumia
911,Satin Formal Blouse /Chemise  -very Soft - Purple,410.0,0,410.0,4.1,15,Non,Not a brand,Jumia
912,Caesar MensSport T-Shirt With Short Sleeves,214.0,27,174.0,,0,Non,Not a brand,Jumia
913,Defacto Modern Fit Polo Neck Long Sleeve Shirt,499.2,10,448.8,3.6,11,official_store,defacto,Jumia
914,Defacto Woman Grey Relax Fit Long Sleeve Knitted Tunic,699.0,72,199.0,4.1,10,official_store,defacto,Jumia
915,Defacto Regular Fit Crew Neck Short Sleeve T-Shirt,168.8,0,168.8,,0,Non,Not a brand,Jumia
916,Reebok Workout Ready Piping T-Shirt HI0690,699.0,0,699.0,,0,official_store,reebok,Jumia
917,Aerie Lumberjane Waffle Shirt,2200.0,40,1320.0,4.8,4,official_store,aerie,Jumia
918,Lasso Cut Undershirt Cotton Lycra For Women,155.0,23,120.0,5.0,9,Non,Not a brand,Jumia
919,Kady Striped Cotton Long Tunic Top With Front Slit - Navy Blue & White,630.0,53,299.0,,0,official_store,kady,Jumia
920,Izor Basic Solid Summer V-Neck T-Shirt - Light Blue,399.0,64,144.0,5.0,1,official_store,izor,Jumia
921,Women's T-shirt Made Of Ribbed Cotton - Orange,249.99,50,124.99,4.1,13,Non,Not a brand,Jumia
922,Izor Classic Collared Pique Polo Shirt - Green,499.0,68,159.0,3.9,36,official_store,izor,Jumia
923,Sun Set A WOMEN BLOUSE - FOR THE BUETEY - SOLID - WATERMELON,550.0,36,350.0,3.9,23,Non,Not a brand,Jumia
924,Defacto Fitted Crew Neck Ribbed Camisole Singlet,249.06,40,149.1,5.0,1,official_store,defacto,Jumia
925,Defacto Baby Boy Shirt Collar Basic Velvet Long Sleeve Shirt,498.96,37,314.16,,0,Non,Not a brand,Jumia
926,Cottonil Plain Regular Cotton Sleeveless Tank Top - White,107.0,15,90.95,4.9,7,official_store,cottonil,Jumia
927,Injection Blue Comfy-fit Long Sport Stuff Sleeves,300.0,50,150.0,4.0,3,Non,Not a brand,Jumia
928,Fashion Seventy5 Self Sqaures Buttoned Long Sleeves Shirt - Aqua,380.0,62,144.0,3.4,7,Non,Not a brand,Jumia
929,ASTK Men Round T-Shirt RELAXED - YIN AND YANG Print,499.0,55,225.0,,0,official_store,astk,Jumia
930,"Hero Basic ,Double V Neck 95% Cotton  5%Lycra -  Navy Blue",200.0,30,140.0,4.0,26,Non,Not a brand,Jumia
931,Kady Round Neck Navy Blue & Grey Slip On Striped Tee,640.0,73,175.0,,0,official_store,kady,Jumia
932,AKAI Cotton T-Shirt First Rate For Men From Akai Store - Black,225.0,18,185.0,4.1,20,Non,Not a brand,Jumia
933,American Eagle AE High Neck Tank Top,550.0,50,275.0,4.0,2,official_store,american,Jumia
934,Women's T-shirt Made Of Ribbed Cotton - Rose,249.99,44,139.99,4.5,2,Non,Not a brand,Jumia
935,Dice 100% Cotton Three Sleeveless Solid Men Tank Top - White,169.0,6,159.0,4.2,107,Non,Not a brand,Jumia
936,Defacto Crop Top Licensed by the NBA Miami Heat Crew Neck Short Sleeve T-Shirt,349.02,30,244.44,,0,official_store,defacto,Jumia
937,Long Sleeve T-Shirt  For Men,249.0,32,169.0,4.4,5,Non,Not a brand,Jumia
938,Sun Set A WOMEN BLOUSE - FOR THE BUETEY - SOLID - Black,550.0,36,350.0,4.0,22,Non,Not a brand,Jumia
939,SHEIN LUNE Striped Print Batwing Sleeve Tee Multicolour,700.0,37,439.0,,0,Non,Not a brand,Jumia
940,American Eagle AE Linen Band Collar Button Up Shirt,1950.0,40,1170.0,4.4,39,official_store,american,Jumia
941,American Eagle V-Neck T-Shirt,850.0,40,510.0,4.6,89,official_store,american,Jumia
942,OneHand Bundle Of 2 Polo T-Shirt Cotton - Green & Black,550.0,0,550.0,,0,Non,Not a brand,Jumia
943,Bebo Women's Text Sleeve Cranberry Tops-White,170.0,44,95.0,5.0,1,Non,Not a brand,Jumia
944,Bebo Striped Half-sleeve Shirt With Buttons-Red,190.0,50,95.0,,0,Non,Not a brand,Jumia
945,SHEIN Solid Eyelet Embroidery Batwing Sleeve Tee Babyblue,700.0,37,440.0,5.0,1,Non,Not a brand,Jumia
