search_rank,product_name,old_price,discount,new_price,rating,number_of_ratings,official_store,brand_name,source
72,（None Led With Cable）Black Color 12V 120W Motorcycle Car Boat Tractor Accessory Waterproof  Lighter Power Socket Plug Outlet Car-styling,676.0,23,520.0,,0,Non,Not a brand,Jumia
73,(Grey)3 In 1 Dual USB Car  Lighter Socket Splitter Plug 3,990.0,20,790.0,,0,Non,Not a brand,Jumia
74,(No Volt And Switch)Waterproof Panel Type C PD Socket,1100.0,20,880.0,,0,Non,Not a brand,Jumia
75,(115W)Anchtek 115W Car Lighter USB Type-C PD 3-Port,1058.0,21,840.0,,0,Non,Not a brand,Jumia
76,(1M BLACK)1PC USB 5V To 12V Car  Lighter Socket Female,976.0,20,780.0,,0,Non,Not a brand,Jumia
77,(2 USB Ports)Universal Waterproof Dual-hole Lighter,1155.0,20,920.0,,0,Non,Not a brand,Jumia
78,(silver)12V Car  Lighter Socket Splitter Plug Dual USB,838.0,20,670.0,,0,Non,Not a brand,Jumia
79,(Blue)DIN To USB Adapter Portable Angled Motorcycle DIN,838.0,20,670.0,,0,Non,Not a brand,Jumia
80,(No Switch-R)Waterproof Panel Type C PD Socket Adapter,1100.0,20,880.0,,0,Non,Not a brand,Jumia
81,OPPO A77S - 6.5-Inch 128GB/8GB Dual SIM  4G Mobile Phone  - Blue,8199.0,0,8199.0,,0,Non,Not a brand,Jumia
82,OPPO A77s 8G 128GB - Sunset Orange,8299.0,4,7999.0,,0,Non,Not a brand,Jumia
83,realme 9I 6G 128GB Prism Black,7999.0,7,7444.0,,0,Non,Not a brand,Jumia
84,XIAOMI REDMI NOTE 12S 8GB- RAM- 256GB ROM DUAL -SIM,12999.0,11,11570.0,,0,Non,Not a brand,Jumia
85,"Samsung Galaxy M33 Dual SIM, 128GB, 8GB, 5G, Brown",9299.0,0,9299.0,,0,Non,Not a brand,Jumia
86,Lenovo Tab M7 - 7.0-inch 2GB/32GB Nano-SIM - Iron Grey,3333.0,4,3199.99,5.0,4,Non,Not a brand,Jumia
87,realme C25Y - 6.5-inch 128GB/4GB Dual SIM Mobile Phone -Metal Grey,5999.0,9,5488.0,,0,Non,Not a brand,Jumia
88,"realme C55 Dual SIM, 8GB RAM, 256GB - Sunshower",10924.0,12,9659.0,,0,Non,Not a brand,Jumia
89,OPPO A55 - 6.51-inch 128GB/4GB Dual SIM 4G Mobile Phone - Starry Black,6299.0,0,6299.0,,0,Non,Not a brand,Jumia
90,"Samsung Galaxy A04e 3GB, 64GB - Black",5059.0,2,4944.0,,0,Non,Not a brand,Jumia
91,"Samsung Galaxy A03s, 4GB RAM, 64GB, 6.5 Inches - Black",7704.0,15,6554.0,,0,Non,Not a brand,Jumia
92,"OPPO A55, 6.51"", 128GB, 4GB RAM, 5000 MAh - Starry Black",8509.0,8,7819.0,,0,Non,Not a brand,Jumia
93,"Infinix Smart 6 Plus 64GB/3GB(Up To 6GB) Ram Dual Sim 4G, 5000 MAh - Crystal Volet",5289.0,13,4599.0,,0,Non,Not a brand,Jumia
94,realme C53 6GB 128GB Mighty Black,7599.0,4,7300.0,,0,Non,Not a brand,Jumia
95,OPPO A55 128G-Blue INT A55 64GB/4GB 6.5inch Dual SIM Mobile Phone - Blue,7002.97,0,7002.97,,0,Non,Not a brand,Jumia
96,"OPPO A76, 6.56"", 128GB, 6GB RAM, 5000 MAh - Glowing Blue",10349.0,11,9199.0,,0,Non,Not a brand,Jumia
97,Desktop Stand Holder,360.0,23,277.0,,0,Non,Not a brand,Jumia
