search_rank,product_name,old_price,discount,new_price,rating,number_of_ratings,official_store,brand_name,source
1861,Andora Half Sleeves Cotton Round Neck T-Shirt - Red,259.0,60,149.0,0.0,0,Non,Not a brand,Jumia
1862,Andora Simon Comfy Hooded Cotton Tee,374.0,33,249.0,0.0,0,Non,Not a brand,Jumia
1863,Matalan Basic Crew Neck T-shirt,220.0,41,130.0,2.7,3,official_store,matalan,Jumia
1864,Matalan Grey Gas Monkey Badge T-Shirt,845.0,30,590.0,0.0,0,official_store,matalan,Jumia
1865,Summer T-shirt For Men_Multicolour,400.0,63,149.0,0.0,0,Non,Not a brand,Jumia
1866,Mesery Cotton Printed T-Shirt For Men - Black,299.0,54,139.0,0.0,0,official_store,mesery,Jumia
1867,Diadora Men Cotton Printed T-Shirt - White,249.0,30,174.0,5.0,2,Non,Not a brand,Jumia
1868,Fashion Medieval Armor 3D Print T Shirt Men's Casual Funny Round Neck Short-sleeved T-shirt-gray,179.05,0,179.05,0.0,0,Non,Not a brand,Jumia
1869,Reebok Men • Fitness & Training Graphic Series T-Shirt HB8534,699.0,0,699.0,0.0,0,official_store,reebok,Jumia
1870,White Rabbit Solid Comfortable Short Sleeve T-Shirt Grey,149.0,0,149.0,0.0,0,Non,Not a brand,Jumia
1871,Waterproof Swimming Trunk - Mens,300.0,0,300.0,0.0,0,Non,Not a brand,Jumia
1872,Red Circle Long Sleeves Basic Printed Tee - Heather Dark Blue,450.0,58,189.0,0.0,0,Non,Not a brand,Jumia
1873,Reebok Men • Fitness & Training  Reebok Graphic Series T-Shirt H56489,569.0,0,569.0,0.0,0,official_store,reebok,Jumia
1874,Defacto Long Fit Short Sleeve T-Shirt.,299.2,30,208.8,5.0,2,official_store,defacto,Jumia
1875,Fashion Cool Mazinger Z  T Shirt For Man  Short Sleeve Anime O-neck Tee Shirt High Street Wave Fashion Men's Clothes-Yellow,179.05,0,179.05,0.0,0,Non,Not a brand,Jumia
1876,Mesery Cotton Printed T-Shirt For Men - Gray,299.0,54,139.0,0.0,0,official_store,mesery,Jumia
1877,Activ Round Collar Solid Pattern Short Sleeves Traning T-Shirt - Blue,399.0,30,279.0,0.0,0,official_store,activ,Jumia
